,Model,Set,Precision,Recall,F1 Score,Accuracy,AUC
0,One-Class SVM (OCSVM),Train,0.008034475202687897,0.4793028322440087,0.015804030027657054,0.07936027954171286,0.24296392351947907
1,One-Class SVM (OCSVM),Test,0.006412124744972311,0.43564356435643564,0.01263823064770932,0.07606504502083053,0.26684787007311084
0,KNN,Train,1.0,0.14955357142857142,0.26009640468155876,0.9871989586794495,0.9477672370227006
1,KNN,Test,1.0,0.15,0.26047686163965234,0.9872056883324447,0.7723911354809815
0,Random Forest (RF),Train,0.5068939967051593,0.6589285714285713,0.5724498555622375,0.985149437262703,0.8959893461504796
0,Random Forest (RF),Test,0.4942163794042581,0.6357142857142857,0.555482126359079,0.9846790883986284,0.8827871093302797
0,Random Forest (Top 10 Features),Train,0.46381793400703925,0.6625,0.5450484127071464,0.983308240145756,0.8878727480421531
0,Random Forest (Top 10 Features),Test,0.45211617662238945,0.6428571428571428,0.5303838846211985,0.982851337330368,0.8747213920229273
0,XGBoost (XGB),Train,0.41171044870411955,0.6736607142857143,0.508704842956203,0.9801566756717766,0.9014789264632723
0,XGBoost (XGB),Test,0.4072473419217634,0.6535714285714287,0.49909816314931843,0.9799216452581092,0.8857215875810228
0,XGBoost (Top 10 Features),Train,0.35052042298549724,0.640625,0.45239274827134446,0.9765616370943138,0.8955831345662585
0,XGBoost (Top 10 Features),Test,0.3399181924504361,0.6196428571428572,0.43792286963418486,0.9758628956392439,0.8784913637073913
0,MLP (Neural Network),Train,0.9819054858514196,0.475,0.6389461866379608,0.9919565061228701,0.9069953657164488
0,MLP (Neural Network),Test,0.9627081787048974,0.4321428571428571,0.5952292462793429,0.9911837494382331,0.8917282583331971
0,Ensemble Model (RF + XGB + KNN + MLP),Train,0.9964912280701753,0.453125,0.6222265216618069,0.9917414753906577,0.9373527601064419
0,Ensemble Model (RF + XGB + KNN + MLP),Test,0.9954545454545455,0.41428571428571426,0.5844788177259226,0.9911568749431007,0.892211775506661
